[ID],[NAME],[REGION],[FLAG]
1,Afghanistan,South Asia,https://data.un.org/common/flags/afg_flag.png
2,Albania,Europe and Central Asia,https://data.un.org/common/flags/alb_flag.png
3,Algeria,Middle East and North Africa,https://data.un.org/common/flags/dza_flag.png
4,American Samoa,East Asia and Pacific,https://data.un.org/common/flags/asm_flag.png
5,Andorra,Europe and Central Asia,https://data.un.org/common/flags/and_flag.png
6,Angola,Sub-Saharan Africa,https://data.un.org/common/flags/ago_flag.png
7,Antigua and Barbuda,Latin America and Caribbean,https://data.un.org/common/flags/atg_flag.png
8,Argentina,Latin America and Caribbean,https://data.un.org/common/flags/arg_flag.png
9,Armenia,Europe and Central Asia,https://data.un.org/common/flags/arm_flag.png
10,Aruba,Latin America and Caribbean,https://data.un.org/common/flags/abw_flag.png
11,Australia,East Asia and Pacific,https://data.un.org/common/flags/aus_flag.png
12,Austria,Europe and Central Asia,https://data.un.org/common/flags/aut_flag.png
13,Azerbaijan,Europe and Central Asia,https://data.un.org/common/flags/aze_flag.png
14,Bahamas,Latin America and Caribbean,https://data.un.org/common/flags/bhs_flag.png
15,Bahrain,Middle East and North Africa,https://data.un.org/common/flags/bhr_flag.png
16,Bangladesh,South Asia,https://data.un.org/common/flags/bgd_flag.png
17,Barbados,Latin America and Caribbean,https://data.un.org/common/flags/brb_flag.png
18,Belarus,Europe and Central Asia,https://data.un.org/common/flags/blr_flag.png
19,Belgium,Europe and Central Asia,https://data.un.org/common/flags/bel_flag.png
20,Belize,Latin America and Caribbean,https://data.un.org/common/flags/blz_flag.png
21,Benin,Sub-Saharan Africa,https://data.un.org/common/flags/ben_flag.png
22,Bermuda,North America,https://data.un.org/common/flags/bmu_flag.png
23,Bhutan,South Asia,https://data.un.org/common/flags/btn_flag.png
24,Bolivia,Latin America and Caribbean,https://data.un.org/common/flags/bol_flag.png
25,Bosnia and Herzegovina,Europe and Central Asia,https://data.un.org/common/flags/bih_flag.png
26,Botswana,Sub-Saharan Africa,https://data.un.org/common/flags/bwa_flag.png
27,Brazil,Latin America and Caribbean,https://data.un.org/common/flags/bra_flag.png
28,British Virgin Islands,Latin America and Caribbean,https://data.un.org/common/flags/vgb_flag.png
29,Brunei Darussalam,East Asia and Pacific,https://data.un.org/common/flags/brn_flag.png
30,Bulgaria,Europe and Central Asia,https://data.un.org/common/flags/bgr_flag.png
31,Burkina Faso,Sub-Saharan Africa,https://data.un.org/common/flags/bfa_flag.png
32,Burundi,Sub-Saharan Africa,https://data.un.org/common/flags/bdi_flag.png
33,Cabo Verde,Sub-Saharan Africa,https://data.un.org/common/flags/cpv_flag.png
34,Cambodia,East Asia and Pacific,https://data.un.org/common/flags/khm_flag.png
35,Cameroon,Sub-Saharan Africa,https://data.un.org/common/flags/cmr_flag.png
36,Canada,North America,https://data.un.org/common/flags/can_flag.png
37,Cayman Islands,Latin America and Caribbean,https://data.un.org/common/flags/cym_flag.png
38,Central African Republic,Sub-Saharan Africa,https://data.un.org/common/flags/caf_flag.png
39,Chad,Sub-Saharan Africa,https://data.un.org/common/flags/tcd_flag.png
40,Chile,Latin America and Caribbean,https://data.un.org/common/flags/chl_flag.png
41,China,East Asia and Pacific,https://data.un.org/common/flags/chn_flag.png
42,Colombia,Latin America and Caribbean,https://data.un.org/common/flags/col_flag.png
43,Comoros,Sub-Saharan Africa,https://data.un.org/common/flags/com_flag.png
44,Congo Dem. Rep.,Sub-Saharan Africa,https://data.un.org/common/flags/cod_flag.png
